Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/16/2018,DFW,31.0,17.0,0.0,0.0,0.0,0.0,2018-01-16
01/16/2018,MIA,10.0,0.0,0.0,0.0,0.0,0.0,2018-01-16
01/16/2018,ORD,16.0,0.0,0.0,0.0,0.0,0.0,2018-01-16
01/16/2018,PHX,-5.0,0.0,0.0,0.0,0.0,0.0,2018-01-16
01/16/2019,CLT,-15.0,0.0,0.0,17.0,0.0,0.0,2019-01-16
01/16/2019,DFW,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-16
01/16/2019,MIA,5.0,0.0,0.0,0.0,0.0,0.0,2019-01-16
01/16/2019,ORD,-31.0,0.0,0.0,0.0,0.0,0.0,2019-01-16
01/16/2019,PHX,-2.0,0.0,0.0,18.0,0.0,0.0,2019-01-16
01/17/2017,CLT,16.0,32.0,0.0,0.0,0.0,0.0,2017-01-17
01/17/2017,DFW,5.0,0.0,0.0,0.0,0.0,0.0,2017-01-17
01/17/2017,MIA,41.0,0.0,0.0,0.0,0.0,0.0,2017-01-17
01/17/2017,ORD,49.0,52.0,0.0,0.0,0.0,6.0,2017-01-17
01/17/2017,PHX,-4.0,0.0,0.0,0.0,0.0,0.0,2017-01-17
01/17/2018,CLT,106.0,0.0,17.0,130.0,0.0,81.0,2018-01-17
01/17/2018,DFW,2.0,0.0,0.0,0.0,0.0,0.0,2018-01-17
01/17/2018,MIA,-5.0,0.0,0.0,29.0,0.0,0.0,2018-01-17
01/17/2018,ORD,16.0,0.0,0.0,0.0,0.0,0.0,2018-01-17
01/17/2018,PHX,104.0,0.0,0.0,0.0,0.0,61.0,2018-01-17
01/17/2019,CLT,86.0,22.0,0.0,0.0,0.0,55.0,2019-01-17
01/17/2019,DFW,-5.0,0.0,0.0,0.0,0.0,0.0,2019-01-17
01/17/2019,MIA,-16.0,0.0,0.0,0.0,0.0,0.0,2019-01-17
01/17/2019,ORD,22.0,0.0,0.0,18.0,0.0,0.0,2019-01-17
01/17/2019,PHX,102.0,74.0,0.0,17.0,0.0,0.0,2019-01-17
